,"GDP Per Capita"
"1960",276.42
"1961",279.02
"1962",275.55
"1963",277.01
"1964",281.74
"1965",294.15
"1966",278.57
"1967",294.21
"1968",301.93
"1969",345.58
"1970",361.24
"1971",405.36
"1972",483.13
"1973",578.52
"1974",673.99
"1975",716.76
"1976",686.86
"1977",676.7
"1978",665.02
"1979",778.85
"1980",948.53
"1981",1068.38
"1982",1095.33
"1983",958.72
"1984",756.97
"1985",648.94
"1986",692.18
"1987",726.06
"1988",815.48
"1989",839.99
"1990",866.49
"1991",830.53
"1992",630.82
"1993",604.39
"1994",633.73
"1995",647.98
"1996",766.52
"1997",750.19
"1998",552.17
"1999",582
"2000",562.56
"2001",566.11
"2002",524.68
"2003",468.23
"2004",469.48
"2005",461.03
"2006",430.81
"2007",413.3
"2008",340.74
"2009",735.44
"2010",901.55
"2011",1037.25
"2012",1238.6
"2013",1362.3
"2014",1372.21
"2015",1386.42
"2016",1407.42
"2017",3448.08
"2018",2271.85
"2019",1684.03
"2020",1730.41
"2021",1724.39
"2022",2040.55
"2023",2156.03